,Date,Open,High,Low,Close,Adj Close,Volume,USDT Marketcap,USDT Volume,USDT Change
1469,2019-07-05,11203.1,11395.66,10874.96,10978.46,10978.46,23838480210,3559642713,36978106233,-0.002961836679762686
1470,2019-07-06,10982.54,11620.96,10982.54,11208.55,11208.55,21092024306,3579481363,35153748157,0.005573213830575741
1471,2019-07-07,11217.62,11541.62,11148.8,11450.85,11450.85,19369044277,3577075803,33589746567,-0.0006720414931798979
1472,2019-07-08,11446.6,12345.83,11393.37,12285.96,12285.96,23482551458,3564791484,39234907930,-0.0034341791106852204
1473,2019-07-09,12284.33,12779.13,12233.26,12573.81,12573.81,28167921523,3562808036,46685030019,-0.000556399444091582
1474,2019-07-10,12571.54,13129.53,11710.98,12156.51,12156.51,33627574244,3576572917,53418693199,0.0038634921839499903
1475,2019-07-11,12139.71,12144.62,11158.92,11358.66,11358.66,28595327690,3576444028,49464495672,-3.603701168441997e-05
1476,2019-07-12,11354.3,11905.49,11179.14,11815.99,11815.99,23534692797,3576348203,40613726064,-2.679337331989995e-05
1477,2019-07-13,11813.13,11841.96,10908.48,11392.38,11392.38,21042616384,3571889150,39982557208,-0.0012468173530361115
1478,2019-07-14,11381.02,11451.2,10234.58,10256.06,10256.06,22486000001,3542690109,42169435429,-0.008174677257271501
1479,2019-07-15,10257.84,11052.77,9992.01,10895.09,10895.09,25384047207,3570423336,49555137657,0.007828296053765893
1480,2019-07-16,10896.65,10996.63,9448.11,9477.64,9477.64,24151199070,3563402790,45463964133,-0.0019663063282197024
1481,2019-07-17,9471.21,9963.13,9163.13,9693.8,9693.8,24569921549,3566889749,47115862666,0.0009785475304069369
1482,2019-07-18,9698.5,10736.84,9376.8,10666.48,10666.48,25187024648,3579597488,46433038048,0.0035626946427380624
1483,2019-07-19,10653.96,10716.98,10229.63,10530.73,10530.73,20727426310,3570843223,41165612186,-0.0024456003864532505
1484,2019-07-20,10525.82,11048.66,10451.28,10767.14,10767.14,20206615155,3558610544,40258117106,-0.003425711585770208
1485,2019-07-21,10777.53,10841.89,10389.6,10599.11,10599.11,17130580467,3563721291,37899963944,0.0014361636197073313
1486,2019-07-22,10596.95,10651.79,10154.92,10343.11,10343.11,16334414913,3560422723,38466721204,-0.0009255965129288946
1487,2019-07-23,10346.75,10346.75,9883.59,9900.77,9900.77,17851916995,3565262643,39602275781,0.0013593666754048161
1488,2019-07-24,9887.73,9908.8,9614.31,9811.93,9811.93,17398734322,3566060267,39856130799,0.00022372096528888719
1489,2019-07-25,9809.1,10154.25,9773.96,9911.84,9911.84,15821952090,3562277706,36490377718,-0.0010607114621711267
1490,2019-07-26,9913.13,9916.52,9717.98,9870.3,9870.3,14495714483,3567781085,33431531943,0.001544904539792169
1491,2019-07-27,9871.17,10167.32,9411.52,9477.68,9477.68,16817809536,3561196236,37175009406,-0.0018456426678432614
1492,2019-07-28,9491.63,9575.54,9252.3,9552.86,9552.86,13738687093,3563856718,32742147534,0.0007470753712208733
1493,2019-07-29,9548.18,9681.65,9472.95,9519.15,9519.15,13791445323,3549363874,32682862704,-0.004066618033996994
1494,2019-07-30,9522.33,9701.76,9437.34,9607.42,9607.42,13829811132,3560098364,34557045505,0.003024341933108854
1495,2019-07-31,9604.05,10085.63,9598.1,10085.63,10085.63,16631520648,3569033681,36578677807,0.0025098511575845084
1496,2019-08-01,10077.44,10446.92,9922.02,10399.67,10399.67,17165337858,3555143092,37458770008,-0.003891974758867489
1497,2019-08-02,10402.04,10657.95,10371.01,10518.17,10518.17,17489094082,3566893318,37791541447,0.0033051344758643353
1498,2019-08-03,10519.28,10946.78,10503.5,10821.73,10821.73,15352685061,3558251574,35988692781,-0.002422764918813325
1499,2019-08-04,10821.63,11009.21,10620.28,10970.18,10970.18,16530894787,3566308980,36931880109,0.002264428422901643
