Date,Open,High,Low,Close,Adj Close,Volume
Feb 08 2018,7637.86,8558.77,7637.86,8265.59,8265.59,9346750464
Feb 07 2018,7755.49,8509.11,7236.79,7621.30,7621.30,9169280000
Feb 06 2018,7051.75,7850.70,6048.26,7754.00,7754.00,13999800320
Feb 05 2018,8270.54,8364.84,6756.68,6955.27,6955.27,9285289984
Feb 04 2018,9175.70,9334.87,8031.22,8277.01,8277.01,7073549824
Feb 03 2018,8852.12,9430.75,8251.63,9174.91,9174.91,7263790080
Feb 02 2018,9142.28,9142.28,7796.49,8830.75,8830.75,12726899712
Feb 01 2018,10237.30,10288.80,8812.28,9170.54,9170.54,9959400448
Jan 31 2018,10108.20,10381.60,9777.42,10221.10,10221.10,8041160192
Jan 30 2018,11306.80,11307.20,10036.20,10106.30,10106.30,8637859840
Jan 29 2018,11755.50,11875.60,11179.20,11296.40,11296.40,7107359744
Jan 28 2018,11475.30,12040.30,11475.30,11786.30,11786.30,8350360064
Jan 27 2018,11174.90,11614.90,10989.20,11440.70,11440.70,7583269888
Jan 26 2018,11256.00,11656.70,10470.30,11171.40,11171.40,9746199552
Jan 25 2018,11421.70,11785.70,11057.40,11259.40,11259.40,8873169920
Jan 24 2018,10903.40,11501.40,10639.80,11359.40,11359.40,9940989952
Jan 23 2018,10944.50,11377.60,10129.70,10868.40,10868.40,9660609536
Jan 22 2018,11633.10,11966.40,10240.20,10931.40,10931.40,10537400320
Jan 21 2018,12889.20,12895.90,11288.20,11600.10,11600.10,9935179776
Jan 20 2018,11656.20,13103.00,11656.20,12899.20,12899.20,11801700352
Jan 19 2018,11429.80,11992.80,11172.10,11607.40,11607.40,10740400128
Jan 18 2018,11198.80,12107.30,10942.50,11474.90,11474.90,15020399616
Jan 17 2018,11431.10,11678.00,9402.29,11188.60,11188.60,18830600192
Jan 16 2018,13836.10,13843.10,10194.90,11490.50,11490.50,18853799936
Jan 15 2018,13767.30,14445.50,13641.70,13819.80,13819.80,12750799872
Jan 14 2018,14370.80,14511.80,13268.00,13772.00,13772.00,11084099584
Jan 13 2018,13952.40,14659.50,13952.40,14360.20,14360.20,12763599872
Jan 12 2018,13453.90,14229.90,13158.10,13980.60,13980.60,12065699840
